epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1026.51,0.63312,0.32941,1.0315,0.9813,0.9497,0.98058,0.82699,0.67465,0.33494,1.04375,0.0011684,0.0011684,0.0011684
44,1049.1,0.6418,0.33474,1.0346,0.98615,0.95928,0.97881,0.82276,0.67653,0.35818,1.06705,0.0011486,0.0011486,0.0011486
45,1071.81,0.63318,0.32679,1.03311,0.98123,0.94598,0.97358,0.81461,0.69532,0.41229,1.07418,0.0011288,0.0011288,0.0011288
46,1094.25,0.6339,0.32589,1.03439,0.96301,0.96606,0.98207,0.82309,0.68534,0.41643,1.08526,0.001109,0.001109,0.001109
47,1116.75,0.62767,0.32732,1.02686,0.97919,0.95802,0.98305,0.81824,0.71298,0.36528,1.08251,0.0010892,0.0010892,0.0010892
48,1140.93,0.6378,0.33105,1.03229,0.97484,0.96443,0.98322,0.82861,0.68451,0.38168,1.06433,0.0010694,0.0010694,0.0010694
49,1163.56,0.62892,0.33001,1.02577,0.97026,0.95958,0.98595,0.83489,0.64306,0.36528,1.04917,0.0010496,0.0010496,0.0010496
50,1186.11,0.61976,0.32333,1.02585,0.97709,0.94796,0.98083,0.83339,0.66164,0.38116,1.08274,0.0010298,0.0010298,0.0010298
51,1208.78,0.62036,0.32566,1.02732,0.98342,0.93948,0.97742,0.82463,0.68901,0.36077,1.0524,0.00101,0.00101,0.00101
52,1231.27,0.62673,0.32281,1.02594,0.98032,0.94796,0.98571,0.82532,0.68109,0.35992,1.08602,0.0009902,0.0009902,0.0009902
53,1253.79,0.6103,0.31387,1.01883,0.97231,0.9533,0.98474,0.82919,0.66357,0.36798,1.05772,0.0009704,0.0009704,0.0009704
54,1276.55,0.61193,0.31697,1.024,0.98949,0.94344,0.98216,0.83368,0.65118,0.39596,1.04107,0.0009506,0.0009506,0.0009506
55,1300.57,0.60702,0.31589,1.02055,0.97626,0.95928,0.98342,0.82635,0.67212,0.32631,1.05259,0.0009308,0.0009308,0.0009308
56,1323.17,0.60573,0.31437,1.02684,0.98157,0.9638,0.97915,0.81997,0.70032,0.35497,1.11018,0.000911,0.000911,0.000911
57,1345.8,0.60437,0.31378,1.01839,0.98119,0.94344,0.98468,0.84626,0.64451,0.34167,1.04176,0.0008912,0.0008912,0.0008912
58,1368.47,0.60518,0.31558,1.02101,0.9769,0.95676,0.98085,0.83544,0.64497,0.35952,1.05409,0.0008714,0.0008714,0.0008714
59,1390.99,0.59325,0.30776,1.01883,0.9756,0.95701,0.9871,0.84688,0.61777,0.35674,1.02054,0.0008516,0.0008516,0.0008516
60,1413.55,0.58477,0.30571,1.01197,0.98109,0.96833,0.98393,0.8357,0.67913,0.34639,1.07196,0.0008318,0.0008318,0.0008318
61,1436.03,0.5933,0.30493,1.01559,0.98233,0.95701,0.98585,0.85054,0.63459,0.31531,1.0198,0.000812,0.000812,0.000812
62,1460.4,0.58844,0.30349,1.00686,0.98375,0.95883,0.98288,0.84247,0.63248,0.32473,1.03805,0.0007922,0.0007922,0.0007922
63,1483.05,0.58306,0.3022,1.01561,0.96228,0.98125,0.98797,0.84679,0.63722,0.33109,1.03913,0.0007724,0.0007724,0.0007724
64,1505.58,0.59462,0.30935,1.01618,0.97932,0.96405,0.98236,0.84428,0.65372,0.32959,1.03718,0.0007526,0.0007526,0.0007526
65,1528.2,0.5766,0.2987,1.00982,0.97271,0.96756,0.98636,0.84625,0.62493,0.3325,1.03615,0.0007328,0.0007328,0.0007328
66,1550.81,0.57132,0.29569,0.99999,0.9733,0.97285,0.98372,0.84527,0.6227,0.3126,1.01789,0.000713,0.000713,0.000713
67,1573.38,0.56876,0.29144,1.00671,0.97268,0.96655,0.98402,0.84782,0.61978,0.33882,1.01287,0.0006932,0.0006932,0.0006932
68,1596.06,0.56751,0.29278,1.00429,0.97491,0.96683,0.98223,0.85028,0.602,0.32127,1.00895,0.0006734,0.0006734,0.0006734
69,1620.24,0.56112,0.29369,1.00009,0.98706,0.94796,0.97676,0.83027,0.66372,0.39208,1.03037,0.0006536,0.0006536,0.0006536
70,1642.88,0.56914,0.29014,1.00338,0.98368,0.95454,0.97927,0.85483,0.60678,0.32118,1.01582,0.0006338,0.0006338,0.0006338
71,1665.47,0.56002,0.29352,0.99725,0.98716,0.95475,0.98306,0.85478,0.5981,0.30906,1.00474,0.000614,0.000614,0.000614
72,1688.14,0.55494,0.2835,0.9979,0.9815,0.96033,0.98405,0.85019,0.61388,0.31971,1.02026,0.0005942,0.0005942,0.0005942
73,1710.74,0.55915,0.28472,1.00003,0.98137,0.9638,0.98362,0.85066,0.61417,0.33497,1.01408,0.0005744,0.0005744,0.0005744
74,1733.24,0.54504,0.27932,0.99034,0.98393,0.96939,0.98255,0.85491,0.5987,0.3272,1.00266,0.0005546,0.0005546,0.0005546
75,1755.83,0.54062,0.27751,0.98972,0.98383,0.96369,0.98207,0.85098,0.61219,0.33127,1.00715,0.0005348,0.0005348,0.0005348
76,1780.01,0.54347,0.27801,0.99551,0.96955,0.97059,0.98437,0.85469,0.61288,0.3075,0.99444,0.000515,0.000515,0.000515
77,1802.55,0.53854,0.28007,0.99518,0.97566,0.96833,0.98476,0.85896,0.60254,0.3237,1.00216,0.0004952,0.0004952,0.0004952
78,1825.07,0.53368,0.27365,0.98402,0.97523,0.97059,0.98531,0.8546,0.58562,0.30242,0.99323,0.0004754,0.0004754,0.0004754
79,1847.52,0.53332,0.27622,0.98828,0.97265,0.96553,0.98653,0.86328,0.59804,0.30622,0.99637,0.0004556,0.0004556,0.0004556
80,1870.12,0.52097,0.27211,0.98222,0.97277,0.96982,0.98521,0.85902,0.58951,0.30453,1.00204,0.0004358,0.0004358,0.0004358
81,1892.72,0.52112,0.266,0.9819,0.97491,0.96833,0.98508,0.86139,0.57875,0.30239,0.98535,0.000416,0.000416,0.000416
82,1915.26,0.51364,0.26438,0.98237,0.9771,0.96529,0.98404,0.8624,0.57883,0.31485,0.98285,0.0003962,0.0003962,0.0003962
83,1939.66,0.51478,0.26259,0.97679,0.97437,0.96833,0.984,0.85833,0.58598,0.30758,0.99266,0.0003764,0.0003764,0.0003764
84,1962.2,0.52673,0.27499,0.9925,0.9791,0.96833,0.98528,0.85632,0.58056,0.31569,0.99555,0.0003566,0.0003566,0.0003566
85,1984.52,0.50893,0.26466,0.9843,0.97196,0.97511,0.98419,0.85421,0.58315,0.31466,0.98655,0.0003368,0.0003368,0.0003368
86,2007.14,0.51193,0.26265,0.98324,0.97715,0.96747,0.98549,0.86555,0.57956,0.31381,0.98615,0.000317,0.000317,0.000317
87,2029.55,0.50302,0.2606,0.97381,0.97216,0.97511,0.98297,0.86652,0.57526,0.30196,0.97772,0.0002972,0.0002972,0.0002972
88,2052.03,0.49824,0.26102,0.9716,0.97718,0.96866,0.98471,0.8644,0.57402,0.30537,0.98013,0.0002774,0.0002774,0.0002774
89,2074.44,0.49051,0.25711,0.96746,0.98109,0.96833,0.9855,0.86677,0.56317,0.29304,0.97257,0.0002576,0.0002576,0.0002576
90,2098.34,0.49057,0.257,0.9778,0.97937,0.96662,0.98491,0.86663,0.57085,0.29611,0.97867,0.0002378,0.0002378,0.0002378
91,2158.61,0.43876,0.26341,0.98415,0.97931,0.96386,0.98065,0.84771,0.59153,0.32617,0.99618,0.000218,0.000218,0.000218
92,2181.32,0.40791,0.20745,0.95608,0.98104,0.96833,0.98065,0.85276,0.59208,0.32144,0.993,0.0001982,0.0001982,0.0001982
93,2203.99,0.38853,0.19869,0.95339,0.98046,0.96606,0.98308,0.85529,0.57346,0.30833,0.9796,0.0001784,0.0001784,0.0001784
94,2226.86,0.39132,0.19434,0.94303,0.98306,0.9638,0.98192,0.85431,0.56379,0.29818,0.96814,0.0001586,0.0001586,0.0001586
95,2249.53,0.38006,0.19504,0.93504,0.9794,0.9682,0.98211,0.8544,0.57372,0.30176,0.97733,0.0001388,0.0001388,0.0001388
96,2272.16,0.37932,0.19417,0.93717,0.9795,0.97283,0.98327,0.85739,0.56036,0.28955,0.96646,0.000119,0.000119,0.000119
97,2296.32,0.37082,0.18519,0.93001,0.97839,0.97285,0.98358,0.85891,0.55307,0.29406,0.96538,9.92e-05,9.92e-05,9.92e-05
98,2318.82,0.36392,0.18325,0.93312,0.9787,0.96833,0.98386,0.86078,0.55831,0.29351,0.96599,7.94e-05,7.94e-05,7.94e-05
99,2341.37,0.3674,0.1819,0.93748,0.9772,0.97059,0.98246,0.85642,0.56332,0.29253,0.96622,5.96e-05,5.96e-05,5.96e-05
100,2363.85,0.35832,0.17976,0.93095,0.97381,0.97059,0.97952,0.86195,0.55404,0.28875,0.96156,3.98e-05,3.98e-05,3.98e-05
