epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1943.68,0.69163,0.4106,1.07276,0.9596,0.92366,0.94838,0.75438,0.81532,0.4328,1.08592,0.0011882,0.0011882,0.0011882
43,1981.16,0.6835,0.39726,1.06457,0.97137,0.92484,0.95473,0.78313,0.75371,0.42309,1.05714,0.0011684,0.0011684,0.0011684
44,2033.6,0.67636,0.398,1.06343,0.95761,0.91152,0.94258,0.76642,0.78749,0.47738,1.08457,0.0011486,0.0011486,0.0011486
45,2071.43,0.66817,0.39709,1.05478,0.96112,0.93021,0.94686,0.77044,0.77769,0.44368,1.08845,0.0011288,0.0011288,0.0011288
46,2124.35,0.66332,0.38992,1.05226,0.97542,0.90865,0.94705,0.76462,0.80801,0.43649,1.1003,0.001109,0.001109,0.001109
47,2162.05,0.66095,0.39467,1.05215,0.96976,0.9093,0.93897,0.76858,0.75568,0.45608,1.08711,0.0010892,0.0010892,0.0010892
48,2214.49,0.66296,0.39657,1.05786,0.96994,0.91472,0.95045,0.76962,0.80081,0.44797,1.09934,0.0010694,0.0010694,0.0010694
49,2252.02,0.65113,0.38612,1.04194,0.96036,0.92803,0.95053,0.75992,0.8014,0.42434,1.09057,0.0010496,0.0010496,0.0010496
50,2304.76,0.66332,0.39281,1.05432,0.96689,0.92358,0.95627,0.78553,0.75541,0.40904,1.05923,0.0010298,0.0010298,0.0010298
51,2342.47,0.64593,0.3749,1.0414,0.97021,0.92257,0.94765,0.7753,0.76276,0.41573,1.06801,0.00101,0.00101,0.00101
52,2402.04,0.6444,0.37814,1.04229,0.97804,0.92284,0.94252,0.77396,0.77261,0.44559,1.06694,0.0009902,0.0009902,0.0009902
53,2446.58,0.64576,0.38205,1.04569,0.96913,0.9313,0.95432,0.77411,0.76753,0.42342,1.05982,0.0009704,0.0009704,0.0009704
54,2498.99,0.63942,0.3769,1.04737,0.96365,0.92518,0.95247,0.78363,0.75162,0.43033,1.05756,0.0009506,0.0009506,0.0009506
55,2536.81,0.62895,0.36981,1.03786,0.97577,0.92229,0.95215,0.78724,0.73637,0.40811,1.0594,0.0009308,0.0009308,0.0009308
56,2590.03,0.62721,0.36815,1.0366,0.96924,0.92785,0.9505,0.7871,0.74506,0.40633,1.06017,0.000911,0.000911,0.000911
57,2627.5,0.62723,0.36694,1.03433,0.96033,0.92803,0.94771,0.78525,0.73276,0.42017,1.05402,0.0008912,0.0008912,0.0008912
58,2680.23,0.62521,0.36249,1.03139,0.95959,0.93221,0.95478,0.78146,0.76225,0.40876,1.06557,0.0008714,0.0008714,0.0008714
59,2717.89,0.62261,0.36613,1.03093,0.96597,0.92871,0.95376,0.77845,0.76245,0.40477,1.07756,0.0008516,0.0008516,0.0008516
60,2770.95,0.6144,0.35848,1.03027,0.96648,0.92912,0.95365,0.78377,0.752,0.39828,1.05083,0.0008318,0.0008318,0.0008318
61,2808.71,0.60008,0.34942,1.02171,0.96493,0.92475,0.94798,0.78385,0.73577,0.42085,1.05484,0.000812,0.000812,0.000812
62,2861.14,0.60634,0.34982,1.02189,0.97578,0.92282,0.9527,0.7859,0.74598,0.39877,1.04732,0.0007922,0.0007922,0.0007922
63,2899,0.59367,0.34394,1.013,0.97303,0.92148,0.95267,0.78697,0.75574,0.39245,1.05205,0.0007724,0.0007724,0.0007724
64,2952.08,0.60348,0.35272,1.02602,0.95516,0.92912,0.95187,0.79599,0.71382,0.39993,1.03717,0.0007526,0.0007526,0.0007526
65,2989.73,0.58613,0.34294,1.0155,0.96269,0.92912,0.94641,0.77884,0.7498,0.39954,1.05269,0.0007328,0.0007328,0.0007328
66,3042.18,0.58415,0.33934,1.01037,0.96823,0.93051,0.95602,0.80013,0.71075,0.39037,1.03745,0.000713,0.000713,0.000713
67,3079.72,0.58011,0.34358,1.01083,0.96125,0.92475,0.95462,0.78447,0.75065,0.41136,1.05446,0.0006932,0.0006932,0.0006932
68,3132.35,0.58401,0.34472,1.01553,0.97557,0.91469,0.94882,0.78717,0.73274,0.39171,1.0412,0.0006734,0.0006734,0.0006734
69,3170.43,0.57356,0.3379,1.00914,0.9765,0.91494,0.94589,0.796,0.72619,0.41149,1.04585,0.0006536,0.0006536,0.0006536
70,3229.46,0.56794,0.33802,1.00529,0.97936,0.91167,0.94958,0.78319,0.73325,0.40053,1.05496,0.0006338,0.0006338,0.0006338
71,3272.91,0.5682,0.33559,1.00287,0.9674,0.92475,0.95164,0.78993,0.71962,0.4,1.04103,0.000614,0.000614,0.000614
